English Term,Tamil Term,Explanation
Data Transfer Device,தரவு பரிமாற்ற சாதனம்,"தரவு பரிமாற்ற சாதனம் என்பது கணினிகளுக்கு இடையே தரவுகளை பரிமாற்றம் செய்யப் பயன்படும் ஒரு கருவி ஆகும். இதன் மூலம் கடவுச் சொற்கள், படங்கள், ஆவணங்கள் போன்ற முக்கியமான தரவுகள் பரிமாற்றம் செய்யப்படுகின்றன."
data transfer solution,தரவு பரிமாற்ற தீர்வு,தரவு பரிமாற்ற தீர்வு என்பது பாதுகாப்பான முறையில் ஒரு இடத்தில் இருந்து இன்னொரு இடத்திற்கு தரவுகளை அனுப்புவதற்கும் பெறுவதற்கும் ஒரு செயல்முறையாகும்.
data use agreement,தரவு செயலி ஒப்பந்தம்,"தரவு செயலி ஒப்பந்தம் என்பது ஒரு தரவை சேகரிப்பது, பயன்படுத்துவது, பகிர்வது என்ற நடைமுறைகளுக்கு ஒரு பயனர் அல்லது நிறுவனம் ஒப்புக்கொண்ட ஒப்பந்தம் ஆகும். இது தரவின் தனிநபர் தன்மையையும் பாதுகாப்பையும் உறுதி செய்கிறது."
data validation,தரவு சரிபார்ப்பு,"தரவு சரிபார்ப்பு என்பது ஒரு கணினி அமைப்பில் உள்ள தரவுகளை சரியாகவும், வலிமையாகவும், குறிப்பிட்ட வடிவத்திலும் உள்ளதா என்பதை பரிசீலனை செய்கின்ற செயல்முறையாகும்."
Data-encryption key,தரவு குறியாக்க விசை,தரவு குறியாக்க விசை என்பது கணினி தரவுகளை பாதுகாப்பாக சேமிக்க பயன்படும் குறியாக்கத்தை உருவாக்க அல்லது தெரிவுபடுத்தப் பயன்படும் தனிப்பட்ட குறியாக்க முறையாகும்.
dataset with identifiers,அடையாளங்காட்டிகளுடன் தரவு தொகுப்பு,"அடையாளங்காட்டிகளுடன் தரவு தொகுப்பு என்பது தனிநபர்களை அடையாளப்படுத்தும் தகவல்களைக் கொண்ட தரவுகளின் தொகுப்பாகும். இதில் பெயர், முகவரி, தொலைபேசி எண் மற்றும் மின்னஞ்சல் போன்றவை அடங்கும்."
dataset without identifiers,அடையாளங்காட்டிகள் இல்லாத தரவுத் தொகுப்பு,"அடையாளங்காட்டிகள் இல்லாத தரவுத் தொகுப்பு என்பது தனிநபர்களின் அடையாளத்தை வெளிப்படுத்தாத தரவுகளின் தொகுப்பாகும். இதில் பெயர், முகவரி, தொலைபேசி எண் போன்ற தனிநபர் தகவல்கள் இடம்பெறாது."
Deactivated state,செயலிழக்க நிலை,"ஒரு கணக்கு அல்லது செயல்பாடு செயல்படாத நிலையைக் குறிக்கும், இதனால் அதன் செயல்பாடுகளை நிறுத்தப்பட்டு பயனர் அதை அணுக முடியாது."
decapsulation,பாகுபடுத்தல் ,"பாகுபடுத்தல்  (Decapsulation) என்பது ஒரு செயல்முறையாகும், இதில் ஒரு கணினி வைரஸ் அல்லது மால்வேரின் குறியீடுகளை அதன் மூடகத்திலிருந்து (சிப்பம்) பிரித்து, அதன் உள்ளே இருக்கும் சக்திவாய்ந்த தகவல்களை அணுகுவதற்காக வடிவமைக்கப்பட்டுள்ளது."
decapsulation key,விசை,"விசை (டீ-கேப்சுலேஷன் கீ) என்பது ஒரு குறியாக்கத்தின் போது சேர்க்கப்படும் குறியாக்க தலைப்பில் உள்ள தகவல்களை அகற்றப் பயன்படும் ஒரு திறவுகோல் ஆகும். விசை இல்லாமல், பாதுகாப்பான தகவல்களை அணுக முடியாது."
Decentralized Autonomic Data,பரவலாக்கப்பட்ட தன்னாட்சி தரவு,"பரவலாக்கப்பட்ட தன்னாட்சி தரவு (டிஏடி) என்பது ஒரு குறிப்பிட்ட மையப்புள்ளியின் கட்டுப்பாட்டின்றி, ஒரு திறந்த வலையமைப்பில் தரவுகள் தன்னாட்சியுடனும், பாதுகாப்புடனும் பகிர்ந்துகொள்ளப்படும் முறையாகும்."
Decentralized Autonomous Organization,பரவலாக்கப்பட்ட தன்னாட்சிமுறைமை  ,"பரவலாக்கப்பட்ட தன்னாட்சிமுறைமை என்பது ஒரு குழுவின் உறுப்பினர்களால் கட்டுப்படுத்தப்படும் ஒரு நிறுவனம், இது மையப்படுத்தப்பட்ட தலைமையின்றி செயல்படுகிறது. இது ஒரு திறந்த மூல நிரல் மற்றும் ஒரு பகிரப்பட்ட தீர்மானத்தின் மூலம் இயக்கப்படுகிறது."
Decentralized Exchange,பரவலாக்கப்பட்ட பரிமாற்றம்,"பரவலாக்கப்பட்ட பரிமாற்றம் என்பது, ஒரு மையப்படுத்தப்பட்ட அதிகாரம் இல்லாமல், ஒரு நெட்வொர்க்கில் உள்ள பல நோடுகள் மூலம் ஒருங்கிணைக்கப்பட்டு செயல்படும் காசாளர் இல்லாத செயல்பாட்டை குறிக்கும்."
Decentralized Identifier,பரவலாக்கப்பட்ட அடையாளங்காட்டி,"பரவலாக்கப்பட்ட அடையாளங்காட்டி என்பது ஒரு அடையாள முறையாகும், இது ஒரு நடுநிலை அதிகாரத்திற்குப் பதிலாக பல்வேறு இடங்களில் பரவலாக சேமிக்கப்பட்ட தரவுகளைப் பயன்படுத்துகிறது. இது பயனர்களின் தனிப்பட்ட தகவல்களை பாதுகாப்பதில் முக்கிய பங்கு வகிக்கிறது."
Decentralized network,பரவலாக்கப்பட்ட வலையமைப்பு,பரவலாக்கப்பட்ட வலையமைப்பு என்பது ஒரு நடுவம் இல்லாமல் கணினிகள் பல இணைந்து தகவல்களை பகிர்ந்து கொள்ளும் வலையமைப்பு ஆகும். இது தகவல் பாதுகாப்பிற்காகவும் சட்டவிரோதமான செயல்கள் சம்பந்தப்பட்டவர்களை கண்டுபிடிப்பதை தடுக்கவும் பயன்படுகிறது.
decertification,சான்றிதழ் நீக்கம்,"சான்றிதழ் நீக்கம் என்பது ஒரு நிறுவனம் அல்லது அமைப்பின் அங்கீகாரத்தை அல்லது சான்றிதழை ரத்து செய்வதாகும். இது பொதுவாக, ஒரு நிறுவனம் தனது பாதுகாப்பு மற்றும் தரக் கட்டுப்பாடுகளை மீறும் போது செய்யப்படுகிறது."
decipher,விசைப்பலகை,"விசைப்பலகை என்ற சொல்லின் பொருள் முறையாக பயன்படுத்தப்படவில்லை எனினும், விசைப்பலகை என்பது பொதுவாக சிப்பிரிங்க அல்லது குறியாக்க முறையை மேற்கொண்டு மொழியின் அர்த்தத்தை மாற்றுவதாக அறியப்படுகிறது.விசைப்பலகையின் செயல்நிலை   மாறாக 'மறைகுறிச் செய்தியை விரிவடையச் செய்தல் ' அல்லது 'குறிச் செய்தியை பரிமாற்ற ரீதியாக மாற்றம் அடையச் செய்வது' என கூறப்படுகிறது.சரியான சொல் தேர்வு - பொருள் விளக்கம் இதன் பொருள் - தகவல்கள்  மறையாக்கத்தை உடைப்பது என பொருள்படும், மறைகுறிச் செய்தியை அதன் மூல முறைமைக்கு மாற்றி அல்லது தகவலை மறைக்கபட்டு இருந்த நிலையிலிருந்து மீட்டெடுக்க முற்படுவதற்கு செய்தலே விடுவித்தல் என்று கூறப்படுகிறது"
Decryption-Verification,குறியாக்க-சரிபார்ப்பு,"குறியாக்க-சரிபார்ப்பு என்பது ஒரு குறியாக்க செய்தியை அதன் அசல் வடிவில் மீண்டும் மாற்றும் செயல்முறை, இந்த செய்தி சரியானதா தவறானதா என்பதை சரிபார்க்கும் செயலினை குறிப்பதாகும்."
Dedicated Proxy Server,அர்ப்பணிக்கப்பட்ட பிரதிநிதி  சேவையகம்,"அர்ப்பணிக்கப்பட்ட பிரதிநிதி  சேவையகம் என்பது ஒரு தனிப்பட்ட பயனர் அல்லதுமுறைமை  க்கு மட்டும் உருவாக்கப்படும் ஒரு பிரதிநிதி  சேவையகம் ஆகும். இது இணைய பயன்பாடு ரகசியமாக வைக்கவும், பாதுகாப்பை அதிகரிக்கவும் உதவுகிறது."
Defense Cyber Crime Center,பாதுகாப்பு இணைய குற்ற மையம்,"இது அமெரிக்க இராணுவத்தின் ஒரு பிரிவாகும், இது இராணுவ நெட்வொர்க்கள் மற்றும்முறைமை  களை இணைய அச்சுறுத்தல்களிலிருந்து பாதுகாக்க பொறுப்பாகும். இந்த மையம் இராணுவ இணைய செயல்பாடுகளை கண்காணித்து, இணைய தாக்குதல்களை எதிர்த்துப் போராடுகிறது."
Defense Federal Acquisition Regulations Supplement,பாதுகாப்பு மத்திய  கொள்முதல் விதிகள் இணைப்பு ,பாதுகாப்பு மத்திய  கொள்முதல் விதிகள் இணைப்பு  என்பது ஐக்கிய அமெரிக்க அரசின் பாதுகாப்புத் துறை சம்பந்தப்பட்ட ஒப்பந்தங்கள் மற்றும் கொள்முதல்களுக்கு வழிகாட்டும் ஒரு ஒழுங்குமுறையாகும். இது மத்திய  செயல்பாடுகளில் ஒப்பந்தப் பொறுப்புகளை நடைமுறைப்படுத்துவதற்கு கையேடு ஆகும்.
Degraded Cybersecurity State,குறைவடைந்த இணைய பாதுகாப்பு நிலை,"குறைவடைந்த இணைய பாதுகாப்பு நிலை என்பது ஒரு அமைப்பின் கணினி மற்றும் பிற இணைய சார்ந்த பாதுகாப்பு அம்சங்கள் பலவீனமாகவோ அல்லது சரியாக இயங்காமலோ இருக்கும் நிலையைக் குறிக்கிறது. இந்த நிலையில்,முறைமை தாக்குதலுக்கு எளிதாக உள்ளாகும் அபாயம் அதிகம்."
deprecated,முடக்கப்பட்டது,முடக்கப்பட்டது என்பது ஒரு நிரல் அல்லது செயல்பாடு அதன் அசல் நோக்கத்திற்கு தேவையற்றதாகி விட்டது அல்லது அதற்குப் பதிலாக மேம்படுத்தப்பட்ட மாற்றீடு கிடைக்கிறது எனக் குறிக்கிறது.
Deprecated Identifier Name,நீக்கப்பட்ட அடையாள பெயர் ,"நீக்கப்பட்ட அடையாள பெயர்  என்றால், ஒரு அடையாளத்தை உருவாக்குவதற்கு பயன்படும் ஒரு பெயர் அல்லது குறியீடு இப்போது பயன்படுத்தப்படவில்லை அல்லது பாதுகாப்பானதாக கருதப்படவில்லை என்று குறிப்பிடப்படுகிறது.  இது பயனர்களை தம் அடையாளத்தை மாற்றுவதற்கு அல்லது புதிய பாதுகாப்பு ஏற்பாடுகளை ஏற்றுக்கொள்வது தேவைப்படுவதை எச்சரிக்கிறது."
Derived Personal Identity Verification Credential,தனிப்பட்ட அடையாளத்தை சரிபார்க்கும் சான்றிதழ்,"தனிப்பட்ட அடையாளத்தை சரிபார்க்கும் சான்றிதழ் என்பது ஒரு நபரின் அடையாளத்தை உறுதிசெய்வதற்கான ஒரு ஒருங்கிணைந்த செயல்முறையாகும், இது பயனரின் அடையாளத்தைப் பாதுகாப்பதற்கான மேம்பட்ட பாதுகாப்பை வழங்குகிறது."
Designated Accrediting Authority,நியமிக்கப்பட்ட அங்கீகார ஆணையம்,நியமிக்கப்பட்ட அங்கீகார ஆணையம் என்பது இந்திய அரசின் தகவல் தொழில்நுட்பச் சட்டம் 2000-இன் கீழ் அமைக்கப்பட்ட ஒரு ஆணையமாகும். இதன் மூலம் தகவல் பாதுகாப்பு மற்றும் இணையத் தகவல் பரிமாற்றத்தை ஒழுங்குபடுத்தும்முறைமை  களுக்கு அங்கீகாரம் வழங்கப்படுகிறது
designated cipher function,நியமிக்கப்பட்ட குறியாக்க செயல்பாடு,"நியமிக்கப்பட்ட குறியாக்க செயல்பாடு என்பது ஒரு குறிப்பிட்ட மாற்றும் செயல்முறையைப் பயன்படுத்தி, தரவு அல்லது செய்திகளைப் பாதுகாக்கவும், மறைக்கவும் உதவும் ஒரு கணினி அல்காரிதம் ஆகும்."
designing for cyber resiliency and survivability,இணைய மீதான மீளாற்றல்  மற்றும் உயிர்வாழக்கூடிய தன்மையை மேம்படுத்துதல்,"இணைய மீதான மீளாற்றல்  மற்றும் உயிர்வாழக்கூடிய தன்மையை மேம்படுத்துதல் என்பது கணினிமுறைமை  கள் மற்றும் நெட்வொர்க்குகளின் பாதுகாப்பை அதிகரிக்கும் நோக்கத்தில், அவற்றில் ஏற்படும் சேதத்திற்கு எதிராக அவற்றை உயிர்வாழக்கூடியதாக மாற்றுவதை குறிக்கிறது."
Device Cybersecurity Capability,சாதன இணைய பாதுகாப்பு திறன்,"சாதன இணைய பாதுகாப்பு திறன் என்பது ஒரு கணினி அல்லது பிற மின்னணு சாதனத்தின் இணைய தாக்குதல்கள், தீங்குநடுத்தும் மென்பொருள், மற்றும் அனாவசியமான இடர் க்களில் இருந்து பாதுகாக்கும் திறனை குறிக்கிறது."
Device Cybersecurity Capability Core Baseline,சாதன இணைய பாதுகாப்பு திறன் அடிப்படை அடிப்படை,இது ஒரு சாதனத்தின் இணைய பாதுகாப்பு திறன்களின் மீச்சிறு  தரநிலையை வரையறுக்கிறது. இது இடர் க்கள் மற்றும் பாதிப்புகளைத் தணிக்க அவசியமான கட்டுப்பாடுகள் மற்றும் கட்டுப்பாடுகளை வழங்குகிறது.
disruption,தடையாக,"தடையாக : ஒரு கணினி அமைப்பை அல்லது வலைத்தளத்தை நிறுத்தவோ, செயலிழக்கச் செய்தோ அதன் செயல்பாட்டில் தடை ஏற்படுத்தவோ மேற்கொள்ளப்படும் செயல்."
Distributed Firewall,பகிர்வு  தீயரண்,"பகிர்வு  தீயரண் என்பது ஒரு நெட்வொர்க்கில் பல்வேறு தீயரண்முறைமை  களை இணைக்கும் ஒரு பாதுகாப்பு அமைப்பாகும், இது தீங்கு விளைவிக்கும் பாதிப்புகளில் இருந்து பாதுகாப்பாக இருக்க உதவுகிறது."
Distributed Logical Router,பகிர்வு  தர்க்க ரீதியான திசைவி,"பகிர்வு  தர்க்க ரீதியான திசைவி என்பது ஒரு தர்க்க ரீதியான திசைவி அமைப்பாகும், இது ஒரு வலையமைப்பில் உள்ள பல திசைவிகளை ஒன்றாக இணைக்கிறது. இதனால், ஒரு நெட்வொர்க்கில் வெவ்வேறு திசைவிகள் மூலம் கடத்தப்படும் பெரிய தரவுகளை திறம்பட கட்டுப்படுத்த மற்றும் மேலாண்மை செய்ய உதவுகிறது."
Distributed network,பகிர்வு  வலையமைப்பு,"பகிர்வு  வலையமைப்பு: ஒரு வலையமைப்பில், பல கணினிகள் ஒன்றுபட்டு செயல்படும்முறைமை  . இதில் தரவுகள், கோப்புகள் அனைத்து கணினிகளிலும் சேமிக்கப்படும்."
Distributed Network Protocol,பகிர்வு  இணையம் நெறிமுறை,"பகிர்வு  இணையம் நெறிமுறை என்பது ஒரு கணினி வலையமைப்பில் உள்ள பல கணினிகள் ஒன்றுசேர்ந்து ஒரு பணியை நிறைவேற்ற உதவும் நெறிமுறையாகும். இதன் மூலம் தகவல்கள் பகிர்ந்தளிக்கப்பட்டு, கணினி வலையமைப்பின் செயல்திறன் மேம்படுகிறது."
Distribution System,விநியோகமுறைமை ,"விநியோகமுறைமை  என்பது வைரஸ், மால்வேர், ட்ரோஜன் போன்ற இணைய குற்றங்கள் மற்றும் தீங்கு விளைவிக்கும் கோப்புகளை பரவச் செய்ய உதவும் முறையாகும். இது இணைய குற்றவாளிகளால் வழக்கமாகப் பயன்படுத்தப்படுகிறது."
Diversifier Hiding Key,மாறுபாட்டை மறைக்கும் விசை," மாறுபாட்டை மறைக்கும் விசைகள் மறைக்கும் திறவுகோல் என்பது ஒரு முறையாகும், இதில் தகவல்களை மறைத்து வைக்க பல்வேறு வகையான மறையீடு முறைகள் பயன்படுத்தப்படுகின்றன, மேலும் திறவுகோல் பல்வேறு இடங்களில் பிரிக்கப்படுகிறது, இது தகவலைக் கண்டறிவதை மிகவும் கடினமாக ஆக்குகிறது."
DoD,பாதுகாப்புத் துறை,பாதுகாப்புத் துறை (DoD) என்பது ஒரு நாட்டின் இராணுவம் தொடர்பான முக்கிய இலக்குகளை இணையத்தின் மூலமாக பாதுகாக்கும் நிறுவனம் ஆகும்.
DoD Cybersecurity Analysis and Review,பாதுகாப்பு அமைச்சகத்தின் இணைய பாதுகாப்பு பகுப்பாய்வு மற்றும் ஆய்வு,"பாதுகாப்பு அமைச்சகத்தின் இணைய பாதுகாப்பு பகுப்பாய்வு மற்றும் ஆய்வு என்பது இணைய அச்சுறுத்தல்களை கண்டறிந்து, தடுப்பதற்கான பாதுகாப்பு அமைச்சகத்தின் ஆழமான பகுப்பாய்வு மற்றும் ஆய்வு ஆகும். இது இணைய பாதுகாப்பு அமைப்பை மேம்படுத்த உதவுகிறது."
DoD Information Assurance Certification and Accreditation Process,பாதுகாப்பு அமைச்சகத்தின் தகவல் உறுதிப்படுத்தல் சான்றிதழ் மற்றும் அங்கீகாரம் செயல்முறை,"இந்த செயல்முறையானது, அமெரிக்க பாதுகாப்பு அமைச்சகத்தால் உருவாக்கப்பட்ட ஒரு கட்டமைப்பாகும், இது அமைச்சகத்தின் தகவல்முறைமை  கள் பாதுகாப்பு வழிகாட்டுதல்கள் மற்றும் தரநிலைகளை பின்பற்றுவதை உறுதிசெய்கிறது. இது தகவல்முறைமை  களின் பாதுகாப்பை உறுதிப்படுத்த, தனிப்பட்ட தகவல்களைப் பாதுகாக்க, மற்றும் பாதுகாப்பு அச்சுறுத்தல்களைக் குறைக்க உதவும்."
DoD Information Technology Security Certification and Accreditation Process,பாதுகாப்பு மற்றும் பாதுகாப்புத் தரப் பணிகள்,"இது அமெரிக்க பாதுகாப்புத் துறையின் (DoD) தகவல் தொழில்நுட்ப பாதுகாப்பு சான்றிதழ் மற்றும் அங்கீகார செயல்முறையைக் குறிக்கிறது. இந்த செயல்முறையின் மூலம், பாதுகாப்புத் தரவுகளின் இணக்கம் மற்றும் பாதுகாப்பை உறுதிப்படுத்தமுறைமை  கள் மற்றும் நடைமுறைகள் ஆய்வு செய்யப்படுகின்றன."
DoD portion of the Intelligence Mission Area,புலனாய்வு பணி பகுதியின் பாதுகாப்பு அமைச்சக பகுதி,"புலனாய்வு பணி பகுதியின் பாதுகாப்பு அமைச்சக பகுதி (DoD புலனாய்வு பணி பகுதி) என்பது ஒரு நாட்டின் பாதுகாப்பு அமைச்சகத்தின் புலனாய்வு செயல்பாடுகளை மேற்கொள்ளும் பகுதியாகும். இது இராணுவ புலனாய்வு மற்றும் பாதுகாப்பு தொடர்பான தகவல்களை சேகரித்து, பகுப்பாய்வு செய்து, பாதுகாப்பு அமைச்சகத்திற்கு அறிக்கை செய்கிறது."
DoD Strategy for Operating in Cyberspace,இணையவெளியில் செயல்படும்  பாதுகாப்பு அமைச்சகத்தின் மூலோபாயம்,"இணையவெளியில் செயல்படும்  பாதுகாப்பு அமைச்சகத்தின் மூலோபாயம் என்பது இணையவெளியின் பாதுகாப்பை உறுதி செய்ய அமெரிக்க பாதுகாப்பு அமைச்சகம் (DoD) நிறுவிய கொள்கையாகும். இது இணையவெளியில் எதிரிகளின் தாக்குதல்களை எதிர்க்கவும், இணையவெளியின் பாதுகாப்பை உறுதி செய்யவும் வழிமுறைகளை வகுக்கிறது."
Domain authority,கள அதிகார,"கள அதிகார என்பது ஒரு வலைதளத்தின் முக்கியத்துவம், நம்பகத்தன்மை மற்றும் புகழை அளவிடும் ஒரு குறியீடு ஆகும். இது தேடுபொறி இயந்திரங்கள் வலைதளங்களை தரவரிசைப்படுத்தப் பயன்படுத்தப்படுகிறது."
Domain Controller,கள கட்டுப்பாட்டாளர்,"கள கட்டுப்பாட்டாளர் என்பது ஒரு நெட்வொர்க்கின் பயனர்களையும் கணினிகளையும் கட்டுப்படுத்தப் பயன்படும் முக்கிய சர்வர் ஆகும், இது பயனர்களின் அங்கீகாரத்தையும் அணுகலையும் கட்டுப்படுத்துகிறது."
downlink,கீழ்தோன்றும் இணைப்பு,"கீழ்தோன்றும் இணைப்பு (டவுன்லிங்க்) என்பது ஒரு செயலாக்கமாகும், இதில் ஒரு பயனர் சேவையாளர் இடத்தில் இருந்து வரும் தரவுகளை பெறும் செயல்முறையாகும்."
Duplicate Digital Evidence,நகல்  எண்முறை  சான்றுகள்,நகல்  எண்முறை  சான்றுகள் என்பது சான்றுகள் இரண்டு பிரதிகள் கிடைக்கும்போதும் அதில் ஒன்று மட்டும் அசல் சான்றாக இருக்கும் அல்லது அவை இரண்டுமே போலியாக இருக்கலாம். இதனால் மூல சான்றை உறுதியாக கண்டறிவது அவசியமாகிறது.
duplicate disk/data dump,நகல்  வட்டு/தரவு களஞ்சியம்,கணினிகளில் சேமிக்கப்பட்ட தரவுகளை அவற்றின் அனுமதியின்றி அல்லது சட்ட விரோதமாக நகலெடுப்பதை நகல்  வட்டு/தரவு களஞ்சியம் என்று அழைக்கிறோம். இது சட்டபூர்வமான ஆதாரங்களைத் தவறாக பயன்படுத்துவதற்கு உதவுகிறது.
Dynamic Access Control List,இயக்கவியல் அணுகல் கட்டுப்பாட்டு பட்டியல்,"இயக்கவியல் அணுகல் கட்டுப்பாட்டு பட்டியல் என்பது ஒரு கணினி வலையமைப்பில், அணுகல் கட்டுப்பாட்டு விதிகளை திறன்பட மாற்றுவதற்கும், கட்டுப்படுத்துவதற்கும் பயன்படுத்தப்படும் ஒரு அமைப்பாகும். இது பயனர்களுக்கு மற்றும் குழுக்களுக்கு அணுகல் அனுமதிகளை கட்டுப்படுத்த உதவுகிறது."
dynamic application security testing,இயக்கவியல்  சோதனை,"இயக்கவியல்  சோதனை என்பது ஒரு அப்ளிகேஷனின் பாதுகாப்பு சோதனை செய்யும் முறையாகும், இது அப்ளிகேஷனை இயக்கும் போது அதன் இடர் களை கண்டறியும். இது ரன்-டைம் சோதனையின் ஒரு பகுதியாகும்."
dynamic code analyzer,இயங்கு  குறியீடு பகுப்பாய்வு,"இயங்கு  குறியீடு பகுப்பாய்வு என்பது ஒரு செயல்முறையாகும், இதில் நிரல் குறியீடுகள் இயக்கத்தின் போது பகுப்பாய்வு செய்யப்படுகின்றன, அங்கு மென்பொருள் தொடங்கப்பட்ட பின்னர் குறியீடுகளின் மூலம் தேடப்படுகிறது."
Dynamic Core Root of Trust for Measurement,அளவீடுக்கான நம்பிக்கையின் வலுவான மைய வேர்,அளவீடுக்கான நம்பிக்கையின் வலுவான மைய வேர் (டைனமிக் கோர் ரூட் ஆஃப் ட்ரஸ்ட் ஃபார் மெசர்மென்ட்) என்பது கணினிமுறைமை  களின் பாதுகாப்பை அளவிடும் ஒரு முறையாகும். இது அமைப்பின் மைய பாகங்களை வலுவான பாதுகாப்பு நடவடிக்கைகளுடன் பாதுகாக்கிறது.
Dynamic Host Client Protocol,இயங்கு புரவலன் பயநுகர்வோர்  நெறிமுறை,இயங்கு  புரவலன் பயநுகர்வோர்  நெறிமுறை (DHCP) என்பது கணினிகள் மற்றும் மற்ற சாதனங்கள் ஒரு நெட்வொர்க்கில் இணைக்கும் போது அவற்றிற்கு தனிப்பட்ட IP முகவரியை ஒதுக்கும்முறைமை  .
Dynamic Host Configuration Protocol,இயங்கு  புரவலன் அமைவு நெறிமுறை,"இயங்கு  புரவலன் அமைவு நெறிமுறை என்பது ஒரு வலையமைப்பு நெறிமுறையாகும், இது ஒரு வலையமைப்பில் இணைக்கப்பட்டுள்ள கணினிகளுக்கு முகவரி ஒதுக்கீடு மற்றும் மற்ற தொழில்நுட்பமுறைமை  களை தானாக செய்ய உதவுகிறது."
Dynamic Link Library,இயங்கு இணைப்பு நூலகம்,இயங்கு  இணைப்பு நூலகம் (Dynamic Link Library) என்பது ஒரு கணினி நிரலின் ஒரு பகுதியாக பயன்படுத்தப்படும் ஒரு நூலகம் ஆகும். இது பல நிரல்கள் ஒரே நேரத்தில் இதை பயன்படுத்துவதற்கு அனுமதிக்கிறது.
Dynamic Random-Access Memory,இயங்கு  சீரற்ற அணுகல் நினைவகம்,"இயங்கு  சீரற்ற அணுகல் நினைவகம் என்பது ஒரு கணினியின் நினைவக வகையாகும், இது தற்காலிகமாக தரவுகளை சேமிக்கும் மற்றும் மின்சாரம் இல்லாமல் அதன் உள்ளடக்கத்தை இழக்கும்."
dynamic subsystem,இயக்கவியல் இணைப்பு முறைமை  ,"கணினி அமைப்பின் ஒரு பகுதியாக, இயக்கவியல் இணைப்பு முறைமை என்பது மேம்பாட்டு செயல்கள் மற்றும் கணினி சார்ந்த பணிகளை செயல்படுத்த உதவும் மிகவும் தரநிலை  மற்றும் மிகவும் பாதுகாப்பான சூழலை வழங்குகிறது."
Dynamically Linked Library,இயக்கநிலையிலுள்ள  இணைப்பு நூலகம்,இயக்கநிலையிலுள்ள  இணைப்பு நூலகம் (DLL) என்பது மைக்ரோசாஃப்ட் விண்டோஸ் இயக்குதளத்தில் பயன்படும் ஒரு நூலகக் கோப்பு வகையாகும். இது பல செயலிகளுக்கு ஒரே நேரத்தில் பயன்படுத்தும் வகையில் வடிவமைக்கப்பட்டுள்ளது.
e-authentication assurance level,மின் அங்கீகாரத்தின் உறுதிப்படுத்தல் நிலை,"""மின் அங்கீகாரத்தின் உறுதிப்படுத்தல் நிலை"" என்பது ஒரு மின் அங்கீகார செயல்முறையின் பாதுகாப்பு மற்றும் உறுதித்தன்மையை அளவிடும் ஒரு அளவீடு ஆகும். இது பயனர்கள் தங்கள் அடையாளத்தை உறுதிப்படுத்துவதற்கான செயல்முறையின் சரியான கட்டுப்பாடுகள் மற்றும் பாதுகாப்பு நடவடிக்கைகளை உறுதி செய்கிறது."
electronic credentials,மின்னணு சான்றுகள்,"மின்னணு சான்றுகள் என்பவை ஒரு நபரின் அல்லது அமைப்பின் அடையாளத்தை உறுதிப்படுத்தும் மின்னணு பதிவுகள் அல்லது தகவல்கள் ஆகும், இது இணையம் மூலமாக பல்வேறு செயல்பாடுகளை அனுமதிக்கிறது."
Electronic Data Interchange,மின்னணு தரவு பரிமாற்றம்,மின்னணு தரவு பரிமாற்றம் என்பது இரண்டு அல்லது அதற்கு மேற்பட்ட நிறுவனங்களுக்கிடையே தரவுகளை மின்னணு வடிவில் பரிமாற்றம் செய்யும் செயல்முறையாகும். இது வணிக நிறுவனங்கள் தங்களுக்குள் தரவுகளை பகிர்ந்து கொள்ள உதவுகிறது.
Electronic Evidence,மின்னணு சான்றுகள்,"ஒரு குற்றத்தை தண்டிக்க அல்லது விசாரிக்க, குற்றவத்தை நடத்தியவரைக் கண்டறிகிறதற்கு என மின்னணு ரூபத்தில் சேமிக்கப்பட்ட அல்லது மின் உபகரணங்களை பயன்படுத்தி அனுப்பிய தரவுகள் மின்னணு சான்றுகள் ஆகும்."
Electronic Mail,மின்னணு அஞ்சல்,"மின்னணு அஞ்சல் என்பது இணையத்தின் மூலமாக ஒருவரின் கணினியில் இருந்து, மற்றொருவரின் கணினிக்கு தரவுகள் அல்லது செய்திகளை அனுப்புவதற்கு உதவும் இணையச் சேவை ஆகும். இது தகவல்களை அனுப்புபவர், பெறுபவர் மற்றும் தகவலை அனுப்பும் பாதையில் நூற்றுக்கணக்கான சாத்தியக்கூறுகள் இருப்பதால் சூழல் மாறக்கூடியதாக இருக்கிறது."
Electronic Media,மின்னணு ஊடகங்கள்,"மின்னணு ஊடகங்கள் என்பது மின் அல்லது மின்னணு தொழில்நுட்பத்தைப் பயன்படுத்தி தகவல்களை பரிமாற்றிக் கொள்ள உதவும் ஒரு வடிவமாகும், இது இணையம், தொலைக்காட்சி, வானொலி போன்றவற்றை உள்ளடக்கியது. இந்த ஊடகங்களின் பயன்பாடு சமூகத்தில் புதிய குற்றக்கலைகளின் தோற்றத்திற்கு ஒரு காரணமாக இருக்கிறது."
electronic messaging services,மின்னணு செய்தி சேவைகள்,"மின்னணு செய்தி சேவைகள் என்பது மின்னணு ஊடகம் மூலம் செய்திகளை பரிமாறிக்கொள்வதற்கான சேவைகளாகும், இதில் மின்னஞ்சல், தொலைபேசி செய்திகள் மற்றும் சமூக ஊடகங்கள் மூலம் செய்திப் பரிமாற்றம் ஆகியவை அடங்கும். இந்தச் சேவைகள் இணையவழி தொடர்பு மேற்கொள்வதற்கான ஊடகங்களாக பயன்படுகின்றன."
