English Term,Tamil Term,Explanation,english_description
cybersecurity event,இணைய பாதுகாப்பு நிகழ்வு,"இணைய பாதுகாப்பு நிகழ்வு என்பது ஒரு உருப்பொருள்  கணினிமுறைமை அல்லது இணைய த்தளம் தாக்குதலுக்கு உள்ளாவதையோ, பாதிக்கப்படுவதையோ, ஆக்கிரமிக்கப்படுவதையோ குறிக்கிறது. இவ்வகையான நிகழ்வுகளின் போது உருப்பொருள்  தகவல்கள் சீர்குலைக்கப்படுகின்றன அல்லது பாதிக்கப்படுகின்றன.","A cybersecurity event refers to an organization's computer system or website being attacked, compromised, or compromised.Company information is disrupted or compromised during such events."
cybersecurity for energy delivery systems,எரிமின் பகிர்வு  முறைமைகளுக்கான இணைய பாதுகாப்பு,"எரிமின் பகிர்வு  முறைமைகளுக்கான இணைய பாதுகாப்பு என்பது ஆற்றல் உற்பத்தி, பரிமாற்றம் மற்றும் பகிர்வு  தொடர்பான தகவல் தொடர்பு முறைமைகள் மற்றும் கணினி முறைமைகளை நெட்வொர்க் அச்சுறுத்தல்கள் மற்றும் கொடிய நடவடிக்கைகளிலிருந்து பாதுகாப்பதற்கான ஒரு முழுமையான அணுகுமுறையாகும்.","Cybersecurity for Energy Delivery Systems is a holistic approach to protecting communication systems and computer systems related to energy generation, transmission and distribution from network threats and malicious activity."
cybersecurity for smart manufacturing systems,நுண்ணறி உற்பத்திமுறைமை  ககளுக்கான இணைய பாதுகாப்பு,"நுண்ணறி உற்பத்திமுறைமை  களுக்கான இணைய பாதுகாப்பு அவசியமாகிறது. ஏனென்றால், இந்தமுறைமை  கள் இணையத்தில் இணைக்கப்அளவைருப்பதால், இணைய தாக்குதல்களுக்கு ஆளாகும் அபாயம் அதிகம்.அதனால், இந்தமுறைமை  களின் இணைய பாதுகாப்பை உறுதி செய்வது அவசியம். இது தரவு பாதுகாப்பு, நெட்வொர்க் பாதுகாப்பு, மற்றும்முறைமை பாதுகாப்பு போன்றவற்றை உள்ளடக்கியது.","Cyber ​​security is essential for intelligent manufacturing systems.Because these systems are connected to the Internet, they are at high risk of being exposed to cyber attacks. Therefore, it is essential to ensure the cyber security of these systems.This includes data security, network security, and system security."
cybersecurity for the operational technology environment,செயல்பாட்டு தொழில்நுட்ப சூழலுக்கான இணைய பாதுகாப்பு,"செயல்பாட்டு தொழில்நுட்ப சூழலுக்கான இணைய பாதுகாப்பு என்பது ஒரு உருப்பொருள்  இணைக்கப்பட்ட கருவிகள், இயக்குதளங்கள், மற்றும் பிற தொழில்நுட்பமுறைமை  களை இணையத்திலிருந்து வரும் அச்சுறுத்தல்களிலிருந்து பாதுகாப்பதற்கான செயல்பாடுகள் மற்றும் முறைகளை குறிக்கிறது.","Cybersecurity for the Operational Technology Environment refers to the activities and methods for protecting an organization's connected devices, operating systems, and other technology systems from threats from the Internet."
cybersecurity framework category,இணைய பாதுகாப்பு கட்டமைப்பு வகை,"இணைய பாதுகாப்பு கட்டமைப்பு வகை என்பது ஒரு நிறுவனத்தில் இணைய பாதுகாப்பை பராமரிக்க உதவும் ஒரு ஒழுங்கமைக்கப்பட்ட அணுகுமுறையாகும். இது தகவல் பாதுகாப்பு, அபாயங்களை குறைத்தல், மற்றும் இணைய சம்பந்தமான பிரச்சினைகளை சரிசெய்தல் ஆகியவற்றை கண்காணித்து நிர்வகிக்க உதவுகிறது.","The cybersecurity framework category is an organized approach to help maintain cyber security in an organization.It helps monitor and manage information security, mitigate risks, and troubleshoot cyber-related issues."
cybersecurity framework core,இணைய பாதுகாப்பு கட்டமைப்பு மையம்,"இணைய பாதுகாப்பு கட்டமைப்பு மையம் என்பது ஒரு உருப்பொருள்  இணைய பாதுகாப்பு அச்சுறுத்தல்களைக் கண்டறிந்து, தடுக்கும் நடவடிக்கைகளை எடுக்கும் ஒரு கட்டமைப்பு ஆகும். இது பாதுகாப்பு வழிகாட்டுதல்கள், கொள்கைகள் மற்றும் நடைமுறைகளை உள்ளடக்கியது.","The cybersecurity framework core is a framework for detecting and taking measures to prevent an organization's cybersecurity threats.It includes security guidelines, policies and procedures."
cybersecurity framework function,இணைய பாதுகாப்பு கட்டமைப்பு செயல்பாடு,"இணைய பாதுகாப்பு கட்டமைப்பு செயல்பாடு என்பது ஒரு அமைப்பின் இணைய பாதுகாப்பை மேம்படுத்துவதற்கும், பாதுகாப்பு அச்சுறுத்தல்களைக் குறைப்பதற்கும், செயல்படும் ஒரு கட்டமைப்பு ஆகும். இது பாதுகாப்பு மேலாண்மை, அபாயங்களைக் கண்டறிதல், தடுப்பு செயல்கள்  போன்ற பல்வேறு கூறுகளை உள்ளடக்கியது.","A cybersecurity framework function is a framework that works to improve an organization's cyber security and mitigate security threats.It includes various components like safety management, risk detection, preventive measures etc."
cybersecurity framework profile,இணைய பாதுகாப்பு கட்டமைப்பு சுயவிவரிப்பு,"""இணைய பாதுகாப்பு கட்டமைப்பு சுயவிவரிப்பு என்பது ஒரு உருப்பொருள்  இணைய பாதுகாப்பு தேவைகள் மற்றும் அவற்றை எவ்வாறு அடைவது என்பதற்கான வழிகாட்டியாகும். இது உருப்பொருள்  இணைய பாதுகாப்பு பலவீனங்களை அடையாளம் கண்டு, விரிவான பாதுகாப்பு செய்திட்ட த்தை உருவாக்க உதவுகிறது.""","""A cybersecurity framework profile is a guide to an organization's cybersecurity needs and how to achieve them. It helps identify an organization's cybersecurity weaknesses and develop a comprehensive security plan."""
cybersecurity framework subcategory,இணைய பாதுகாப்பு கட்டமைப்பு இணைப்பு  வகை,"இணைய பாதுகாப்பு கட்டமைப்பு இணைப்பு  வகை என்பது ஒரு உருப்பொருள்  இணைய பாதுகாப்பு கொள்கையின் ஒரு அங்கமாகும், இது ஒரு உருப்பொருள்  இணைய பாதுகாப்பு செய்திட்ட த்திற்கு சிறப்பு வழிகாட்டுதலை வழங்குகிறது. இது அமைப்பின் இணைய பாதுகாப்பு அபாயங்களை மாற்றுவதற்கும் நடவடிக்கை எடுப்பதற்கும் உரிய அளவுகோல்களை வரையறுக்கும்.",The cybersecurity framework subcategory is a component of an organization's cybersecurity policy that provides specific guidance for an organization's cybersecurity program.It will define the appropriate criteria for changing and taking action on the organization's cyber security risks.
cybersecurity incident,இணைய பாதுகாப்பு நிகழ்வு,"இணைய பாதுகாப்பு நிகழ்வு என்பது ஒரு உருப்பொருள்  கணினிமுறைமை  , இணைய யமைப்பு அல்லது தரவுகளுக்கு ஏற்படும் எந்த விதமான பாதிப்பையும் குறிக்கிறது, இது அந்நியர்களால் தகவல்களை அணுகுவது, திருடுவது அல்லது அழிப்பது போன்றவற்றை உள்ளடக்கியது.","A Cybersecurity Incident refers to any type of harm to an organization's computer system, network or data, which includes access, theft or destruction of information by outsiders."
cybersecurity national action plan,இணைய பாதுகாப்பு தேசிய செயல்  செய்திட்ட ம்,"இணைய பாதுகாப்பு தேசிய செயல்  செய்திட்ட ம் என்பது ஒரு நாட்டின் இணைய பாதுகாப்பை மேம்படுத்துவதற்கும், அதன் நடப்பினைக் கண்காணிக்கவும், ஆய்வு செய்து இணைய சார்ந்த குற்றங்களை கட்டுப்படுத்தவும் செய்யப்படும் ஒரு தேசிய வியூகம் ஆகும்.","The Cybersecurity National Action Plan is a national strategy to improve a country's cyber security, monitor its progress, investigate and control cyber-related crimes."
cybersecurity outcome,இணைய பாதுகாப்பு விளைவு ,இணைய பாதுகாப்பு விளைவு  என்பது ஒரு உருப்பொருள்  இணைய தரவுகள் மற்றும்முறைமை  களை பாதுகாப்பதற்கு மேற்கொள்ளப்பட்ட செயல்பாடுகளின் விளைவை குறிக்கிறது. இது இணைய ஆபத்து கள் மற்றும் தாக்குதல்களிலிருந்து பாதுகாப்பை உறுதிப்படுத்துகிறது.,Cybersecurity outcome refers to the outcome of activities undertaken to protect an organization's cyber data and systems.It ensures protection from cyber threats and attacks.
cybersecurity risk,இணைய பாதுகாப்பு ஆபத்து ,இணைய பாதுகாப்பு ஆபத்து  என்பது ஒரு உருப்பொருள்  அல்லது தனிநபரின் கணினி மற்றும் இணைய தளங்கள் மற்றும் தரவுகள் தொடர்பான பாதுகாப்புக்கு ஏற்படும் அச்சுறுத்தல்கள் அல்லது ஆபத்து க்களை குறிக்கிறது.,Cybersecurity Risk refers to threats or risks to the security of an organization's or individual's computer and web sites and data.
cybersecurity risk information sharing program,இணைய பாதுகாப்பு அபாயங்கள் குறித்த தகவல் பகிர்வு செய்திட்ட ம்,"இணைய பாதுகாப்பு அபாயங்கள் குறித்த தகவல் பகிர்வு செய்திட்ட ம் என்பது இணைய தாக்கங்கள், இணைய அச்சுறுத்தல்கள் மற்றும் பாதுகாப்பு ஆபத்து கள் குறித்த தகவல்களை பகிர்ந்து கொள்ளும் ஒரு முறையாகும். இது இணைய பாதுகாப்பை மேம்படுத்த உதவுகிறது.","The Cybersecurity Risk Information Sharing Program is a mechanism for sharing information about cyber impacts, cyber threats and security risks.It helps improve internet security."
cybersecurity risk management,இணைய பாதுகாப்பு ஆபத்து  மேலாண்மை,"இணைய பாதுகாப்பு ஆபத்து  மேலாண்மை என்பது ஒரு உருப்பொருள்  இணைய பாதுகாப்பை பாதுகாக்க ஆபத்து களை அடையாளம் காணவும், மதிப்பிடவும் மற்றும் தடுக்கவும் உதவும் செயல்முறையாகும். இது தகவல் பாதுகாப்பு விதிமுறைகள், ஆபத்து  மதிப்பீடு மற்றும் இணைய பாதுகாப்பு நெருக்கடிகளுக்கு பதிலளிக்கும் செய்திட்ட ங்கள் ஆகியவற்றை உள்ளடக்கியது.உலகளாவிய செய்திப் போக்குவரத்துவிகிதத்தில் மின்னணுத் தகவல்கள் அடித்தளம் இடத்தைப் பிடித்திருப்பதால் கணினி மூலம் ஏற்படும் குற்றங்கள் தற்போது பெருகி வருகின்றன. அவ்வகை குற்றச்செயல்களை ஆராய்வதோடு மட்டுமல்லாமல் கைது செய்யவோ, தடுக்கவோ, அவற்றிலிருந்து  நம்மை காப்பாற்றிக் கொள்ளவோ நாம் ஆபத்து களை கணித்து அதற்குத் தயாராக வேண்டும். இதனையே “ஆபத்து  மேலாண்மை” என்கிறோம்.","Cybersecurity Risk Management is the process of identifying, assessing and preventing risks to protect an organization's cyber security.It includes information security regulations, risk assessment and cyber security crisis response plans. Cybercrime is on the rise as electronic information occupies a fundamental place in the global traffic rate.In addition to investigating such crimes, we need to anticipate and prepare for them in order to arrest, prevent and protect ourselves from them.This is what we call “risk management”."
cybersecurity risk register,இணைய பாதுகாப்பு ஆபத்து  உள்நிழைவு,"இணைய பாதுகாப்பு ஆபத்து  உள்நிழைவு என்பது ஒரு உருப்பொருள்  இணைய பாதுகாப்பு அமைப்பில் உள்ள ஆபத்து களையும், வாய்ப்புகளையும் அடையாளம் காணப்படுத்தும் ஒரு ஆவணமாகும். இது இணைய பாதுகாப்பு வாய்ப்புகளை மதிப்பீடு செய்து அவற்றை குறைக்கவும் நிர்வகிக்கவும் உதவுகிறது.","The Cybersecurity Risk Register is a document that identifies risks and opportunities in an organization's cybersecurity system.It helps assess cyber security opportunities, mitigate and manage them."
cybersecurity risks throughout the supply chain,வழங்கல்  சங்கிலி முழுவதும் இணைய பாதுகாப்பு அபாயங்கள்,வழங்கல்  சங்கிலி முழுவதும் இணைய பாதுகாப்பு அபாயங்கள் என்பது ஒரு உருப்பொருள்  வழங்கல் தொடர்யில் ஏற்படும் இணைய பாதுகாப்பு அச்சுறுத்தல்களைக் குறிக்கிறது. இது வேண்டுமென்றே மற்றும் தற்செயலாக உருப்பொருள்  உள் இணைய யமைப்புகள் மற்றும் தரவுகளுக்கு அச்சுறுத்தலை விளைவிக்கும் சாத்தியக்கூறுகளைக் கொண்டுள்ளது.,"Cybersecurity risks throughout the supply chain refers to cyber security threats throughout a company's supply chain.It has the potential to cause threats to the company's internal networks and data, both intentionally and unintentionally."
cybersecurity state,இணைய பாதுகாப்பு நிலை,இணைய பாதுகாப்பு நிலை என்பது ஒரு நாட்டின் இணைய செயல்பாடுகள் மற்றும் தகவல்முறைமை  களை பாதுகாக்கும் சூழ்நிலை விழிப்புணர்வைக் குறிக்கிறது. இது இணைய குற்றங்களில் இருந்து தகவல்களை பாதுகாப்பதை உள்ளடக்கியது.,Cybersecurity State refers to a country's state of protecting its cyber operations and information systems.This includes protecting information from cyber crimes.
cybersecurity strategy and implementation plan,இணைய பாதுகாப்பு உத்தி மற்றும் நடைமுறைப்படுத்தல் செய்திட்ட ம்,"இணைய பாதுகாப்பு உத்தி மற்றும் நடைமுறைப்படுத்தல் செய்திட்ட ம் என்பது ஒரு உருப்பொருள்  இணைய பாதுகாப்பை பல்வேறு அச்சுறுத்தல்களிலிருந்து பாதுகாப்பதற்கான வழிமுறைகளை வகுத்து, அவற்றை நடைமுறைப் படுத்துவதற்கான ஒரு செய்திட்ட மாகும்.",A Cybersecurity Strategy and Implementation Plan is a plan to formulate and implement measures to protect an organization's cyber security from various threats.
cybersecurity supply chain risk management,இணைய பாதுகாப்பு பகிர்வு  சங்கிலி ஆபத்து  மேலாண்மை,"இணைய பாதுகாப்பு பகிர்வு  சங்கிலி ஆபத்து  மேலாண்மை என்பது ஒரு உருப்பொருள்  இணைய பாதுகாப்பில் பகிர்வு  சங்கிலியில் உள்ள ஆபத்து களைக் கண்டறிதல், மதிப்பீடு செய்தல், நிர்வகித்தல் ஆகியவற்றை உள்ளடக்கிய ஒரு செயல்முறையாகும். இது வழங்குனர்கள், ஒப்பந்ததாரர்கள் மற்றும் மூன்றாம் தரப்பு சேவை வழங்குனர்களிடமிருந்து வரும் ஆபத்து களை நிர்வகிக்க உதவுகிறது.","Cybersecurity Supply Chain Risk Management is a process that involves identifying, assessing, and managing risks in an organization's cybersecurity supply chain.It helps manage risks from suppliers, contractors and third-party service providers."
cybersecurity virtual machine,இணைய பாதுகாப்பு மெய்நிகர் இயங்கமைப்பு,"இணைய பாதுகாப்பு மெய்நிகர் இயங்கமைப்பு என்பது ஒரு வகையான மெய்நிகர் இயந்திர மென்பொருள் ஆகும், இது இணைய பாதுகாப்பு தொடர்பான பல்வேறு சூழ்நிலைகளை உருவகப்படுத்த பயன்படுகிறது.",Cybersecurity Virtual Machine is a type of virtual machine software that can be used to simulate various scenarios related to cybersecurity.
cyberspace attack,இணையவெளி தாக்குதல்,"இணையவெளி தாக்குதல் என்பது இணையம் மூலம் ஒரு கணனி அல்லது கணனி இணைய யமைப்பை ஹேக் செய்ய அல்லது அழிக்க மேற்கொள்ளப்படும் ஒரு முயற்சியாகும். இது பாதுகாப்பு அற்ற இணைய இணைப்புகள் அல்லது பயனர்களின் அறியாமையை சாதகமாக்கி, மால்வேரை நிறுவுவதன் மூலமோ அல்லது பிற எதிர்மறையான குறியீடுகளை ஏவுவதன் மூலமோ ஆகும்.",A cyberspace attack is an attempt to hack or destroy a computer or computer network via the Internet.It takes advantage of unsecured Internet connections or users' ignorance to install malware or launch other malicious code.
data access,தரவு அணுகல்,"தரவு அணுகல் என்பது ஒரு கணினி அமைப்பில் சேமிக்கப்பட்டுள்ள தரவுகளை சட்டப்பூர்வமாக அல்லது சட்டவிரோதமாக அணுகும் செயல் ஆகும். இது தரவுகளை பார்ப்பது, மாற்றுவது அல்லது அழிப்பது ஆகியவை அடங்கும்.","Data Access is the legal or illegal access to data stored in a computer system.This includes viewing, changing or deleting data."
data actions,தரவு செயல்கள் ,"தரவு செயல்கள்  என்பது ஒரு கணினி அமைப்பில் செய்யப்படும் அனைத்து செயல்பாடுகளையும் உள்ளடக்கிய ஒரு வரிசை ஆகும். இது தரவை உருவாக்கல், திருத்தல் மற்றும் நீக்கல் போன்ற செயல்களைக் கொண்டுள்ளது.","Data Actions is a sequence that includes all operations performed on a computer system.It has operations like creating, editing and deleting data."
data encryption algorithm,தரவு குறியாக்க வழிமுறை,"தரவு குறியாக்க வழிமுறை என்பது ஒரு குறிப்பிட்ட தரவை பாதுகாப்பாக வைக்கும் ஒரு கணினி முறையாகும், இது தரவை படிக்கமுடியாத வகையில் மாற்றுகிறது, சரியான குறியாக்க விசை இல்லாமல் படிக்க முடியாது.","A Data Encryption Algorithm is a computer method of securing a particular piece of data by making the data unreadable, unreadable without the correct encryption key."
data encryption standard,தரவு குறியாக்கத் நிலையான அமைவு ,"நிலையான அமைவு  குறியாக்கத் தரவு என்பது ஒரு குறியாக்க முறையாகும், இது தரவை பாதுகாப்பாக சேமிக்க அல்லது அனுப்ப பயன்படுகிறது. இந்த முறையில், தரவு ஒரு விசை மூலம் மாற்றப்பட்டு, அங்கீகரிக்கப்பட்ட பயனர்களால் மட்டுமே அணுக முடியும்.","Data Encryption Standard is an encryption method used to securely store or transmit data.In this method, the data is encrypted with a key and can only be accessed by authorized users."
data execution prevention,தரவு செயலாக்க தடுப்பு,"தரவு செயலாக்க தடுப்பு என்பது ஒரு பாதுகாப்பு அமைப்பாகும், இது நச்சுநிரல்கள் மற்றும் குறியீடு செயலாக்கங்களை அனுமதிக்காமல் தரவுகளைப் பாதுகாக்கும். இந்தமுறைமை தவறான நிரல்களை செயல்படுத்தாமல், கணினியின் பாதுகாப்பை உறுதி செய்கிறது.",Data Execution Prevention is a security system that protects data by preventing malware and code executions.This system ensures the security of the system by preventing the execution of malicious programs.
data integrity,தரவுகளின் ஒருமை ,தரவுகளின் ஒருமை  என்பது கணினி அமைப்பில் சேமிக்கப்பட்டுள்ள தரவுகள் காலப்போக்கில் எந்தவித மாற்றமும் திருத்தமும் இன்றி அப்படியே பாதுகாக்கப்படும் சூழ்நிலை விழிப்புணர்வைக் குறிக்கிறது.,Data integrity refers to the state in which the data stored in the computer system is preserved intact over time without any change or modification.
data integrity authentication,தரவு ஒருமை உறுதிப்படுத்தல்,"தரவு ஒருமை உறுதிப்படுத்தல் என்பது தரவுகள் காலப்போக்கில் எவ்வித மாற்றங்களும் படவில்லை என்பதை உறுதிப்படுத்துவதைக் குறிக்கிறது. இது தரவுகளின் மூலம், தசமம் மற்றும் செயலாக்கங்கள் ஆகியவற்றின் இணைப்பு யைக் கண்காணிக்க உதவுகிறது.",Data integrity authentication refers to ensuring that data has not been altered over time.It helps to monitor the integrity of decimals and operations through data.
data intruder,தரவு ஊடுருபவர் ,"தரவு ஊடுருபவர்  என்பவர் பிறரின் கணினிமுறைமை அல்லது இணைய யமைப்பில் அனுமதியின்றி புகுந்து தரவுகளைப் பார்க்கவோ, திருடவோ, பழிப்புக்கவோ செய்யும் நபர் ஆவார்.இவர் சட்டவிரோதமாக தரவுகளை உள்வாங்கி அதை கொடுக்கப்படும் நோக்கத்திற்கு மாறாக பயன்படுத்துவதால், தரவு பாதுகாப்புச் சட்டங்களை மீறுகிறார்.","A data intruder is a person who enters another's computer system or network without permission to view, steal or destroy data. He violates data protection laws by illegally absorbing data and using it contrary to its intended purpose."
data loss,தரவு இழப்பு,"தரவு இழப்பு என்பது ஒரு கணினி அமைப்பில் சேமிக்கப்பட்ட தரவுகள் அழிக்கப்படுதல் அல்லது அவற்றை மீட்டெடுக்க முடியாமல் போதல் ஆகும். இது பொதுவாக கணினிமுறைமை  களின் காரணங்கள், மென்பொருள் பிழைகள், வைரஸ் தாக்குதல்கள் அல்லது மனித பிழைகள் காரணமாக ஏற்படுகிறது.","Data loss is when data stored in a computer system is destroyed or cannot be recovered.This is usually due to computer system issues, software bugs, virus attacks or human errors."
data loss prevention,தரவு இழப்பு தடுப்பு,"தரவு இழப்பு தடுப்பு என்பது, உருப்பொருள்  முக்கியமான மற்றும் இரகசிய தரவுகளை பாதுகாப்பதற்கான செயல்முறையாகும். இது தரவு இழப்பு அல்லது சீரற்றத்தை தடுக்கும் நோக்கில் வடிவமைக்கப்பட்ட தொழில்நுட்ப மற்றும் வழிமுறை கொள்கைகளை உள்ளடக்கியது.",Data loss prevention is the process of protecting an organization's sensitive and confidential data.It includes technical and methodological policies designed to prevent data loss or inconsistency.
data mining,தரவு சுரங்கம்,"தரவு சுரங்கம் என்பது பெரும் அளவிலான தரவுகளை ஆய்வு செய்து, முக்கியமான தகவல்களை அல்லது முறைகளை கண்டுபிடிப்பதற்கான செயல் முறையாகும். கணினிகளில் தரவுகளை சேமித்து, பல்வேறு கோணங்களில் பார்த்து சிறப்பான உள்ளுண்மைகளை வெளிக்கொணரும் முறையே ஆகும்.",Data mining is the process of analyzing large amounts of data to discover important information or patterns.It is a method of storing data in computers and looking at it from different angles to bring out the best insights.
data object,தரவு பொருள்,"தரவு பொருள் என்பது கணினியில் சேமிக்கப்படும் அல்லது பரிமாறப்படும் எந்த ஒரு தகஇணைய யும் அல்லது கோப்பையும் குறிக்கும், இது சேமிப்பகம் மற்றும் பரிமாற்றத்திற்கு உதவுகிறது.","Data Object refers to any information or file that is stored or exchanged in a computer, which facilitates storage and transfer."
data origin authentication,தரவு மூல அங்கீகாரம்,"தரவு மூல அங்கீகாரம் என்பது ஒரு தரவை அனுப்பிய நபர் அல்லது அமைப்பின் அடையாளத்தை உறுதிப்படுத்தும் செயல்முறையாகும். இது தரவின் மூலத்தையும், அதன் அத்தாட்சியையும் உறுதிசெய்கிறது.",Data origin authentication is the process of confirming the identity of the person or organization that sent the data.It ensures the source of the data and its authenticity.
data privacy,தரவு தனியுரிமை,"தரவு தனியுரிமை என்பது நமது தனிப்பட்ட தகவல்களை இணையத்தில் பகிர்வதற்கும், பயன்படுத்துவதற்கும் எந்த அளவிற்கு அனுமதிக்கப்படுகிறோம் என்பதைத் தீர்மானிப்பதாகும். இதன் மூலம் நமது தனிப்பட்ட தகவல்கள் பாதுகாக்கப்படுகின்றன.",Data privacy is about determining the extent to which we are allowed to share and use our personal information on the Internet.This protects our personal information.
data processing,தரவு செயலாக்கம்,"தரவு செயலாக்கம் என்பது ஒரு கணக்கீட்டு செயல்முறையாகும், இது ஒரு தரவை பயனுள்ள வடிவத்தில் மாற்றுவதற்காக அல்லது அதை சேமிப்பதற்கு பயன்படுத்தப்படுகிறது. இது வழக்கமாக கணக்கீட்டுத் தொழில்நுட்பத்தைப் பயன்படுத்தி செய்யப்படுகிறது.",Data Processing is a computational process used to convert a data into a useful form or to store it.This is usually done using computational technology.
data processing ecosystem,தரவு செயலாக்க சூழல்முறைமை  ,"தரவு செயலாக்க சூழல்முறைமை என்பது தரவுகளை சேகரித்தல், சேமித்தல், தரவுகளுக்கு இடையே உள்ள தொடர்புகளை கண்டறிதல், தரவுகளை பகுப்பாய்தல் போன்ற செயல்பாடுகளை ஒருங்கிணைத்து செயல்படுத்தும் சூழலைக் குறிக்கிறது. இது தரவுகளின் பாதுகாப்பையும், தரவுகளை தவறாக பயன்படுத்துவதையும் தடுக்க உதவுகிறது.","Data Processing Ecosystem refers to the environment that integrates and implements activities such as collecting data, storing it, finding relationships between data, and analyzing data.It helps to protect data and prevent misuse of data."
data provenance,தரவுகளின் தோற்றம்,"தரவுகளின் தோற்றம் என்பது ஒரு தரவின் உருவாக்கம், சேமிப்பகம், பரிமாற்றம் ஆகியவற்றின் வரலாற்றைக் குறிக்கிறது, இது தரவின் அசல் மூலத்தையும் அது எவ்வாறு மாற்றப்பட்டதையும் கண்டறிய உதவுகிறது.","Data provenance refers to the history of creation, storage, and transmission of a piece of data, which helps trace the original source of the data and how it was changed."
data radio bearer,தரவு வானொலி தாங்கி,"தரவு வானொலி தாங்கி என்பது ஒரு நடைமுறையான கண்ணோட்டத்தில், வயர்லெஸ் வலையமைப்பில்  தரவுகளை கடத்தும் ஒரு தொழில்நுட்ப அமைப்பாகும். இந்த தாங்கி வழியாக தரவு பரிமாற்றங்கள் செய்யப்படுகின்றன.","A Data Radio Bearer is, from a practical point of view, a technical system that transmits data over a wireless network.Data transfers are done through this bearer."
data security standard,தரவு பாதுகாப்பு தரவு,"தரவு பாதுகாப்பு தரவு என்பது நிறுவனங்கள் மற்றும் தனிநபர்கள் தங்கள் முக்கிய தரவுகளை பாதுகாக்க பின்பற்ற வேண்டிய பாதுகாப்பு நெறிமுறைகளின் தொகுப்பாகும். இது தரவுகளின் இரகசியம், அங்கீகாரம் மற்றும் ஒருமைப்பாட்டை பாதுகாக்க உதவுகிறது.","A Data Security Standard is a set of security protocols that organizations and individuals must follow to protect their sensitive data.It helps protect confidentiality, authentication and integrity of data."
data security standard payment card industry,தரவு பாதுகாப்பு நிலையான அமைவு மின்னூட்ட  அட்டை தொழில்,தரவு பாதுகாப்பு நிலையான அமைவு மின்னூட்ட  அட்டை தொழில் என்பது மின்னூட்ட  அட்டை தொழிலில் தரவு பாதுகாப்பை உறுதிப்படுத்த உலகம் முழுவதும் ஏற்றுக்கொள்ளப்பட்ட நிலையான அமைவுயாகும். இது மின்னூட்ட  அட்டை பயனர்களின் தனிநபர் தகவல்கள் மற்றும் பரிவர்த்தனை தரவுகளை பாதுகாப்பாக சேமிக்க உதவுகிறது.,Data Security Standard Payment Card Industry is a globally accepted standard to ensure data security in the payment card industry.It enables secure storage of payment card users' personal information and transaction data.
data spillage,தரவு சிதறல் ,தரவு சிதறல்  என்பது தனிப்பட்ட அல்லது மதிப்புமிக்க தரவுகள் அங்கீகரிக்கப்படாத பயனர்களுக்கு எப்போதும் அனுமதியின்றி அல்லது கட்டுப்பாடற்ற முறையில் பரவுவதைக் குறிக்கிறது. இது பொதுவாக ஒரு நெட்வொர்க் கட்டமைப்பு எதிர்ப்பு அல்லது பயன்பாட்டில் பாதுகாப்பு குறைந்த நிலை காரணமாக ஏற்படுகிறது.,Data spillage refers to the unauthorized or uncontrolled dissemination of personal or valuable data to unauthorized users.This is usually caused by a network architecture resistance or a lack of security in the application.
data tag,தரவு குறிச்சொல்,தரவு குறிச்சொல் என்பது ஒரு குறிப்பிட்ட தரவை அடையாளப்படுத்துவதற்கும் வகைப்படுத்துவதற்கும் பயன்படும் ஒரு குறியீடு அல்லது எழுத்து ஆகும்.,A data tag is a code or character used to identify and classify a particular piece of data.
data transfer device,தரவு பரிமாற்ற சாதனம்,"தரவு பரிமாற்ற சாதனம் என்பது கணினிகளுக்கு இடையே தரவுகளை பரிமாற்றம் செய்யப் பயன்படும் ஒரு கருவி ஆகும். இதன் மூலம் கடவுச் சொற்கள், படங்கள், ஆவணங்கள் போன்ற முக்கியமான தரவுகள் பரிமாற்றம் செய்யப்படுகின்றன.","A Data Transfer Device is a device used to transfer data between computers.Through this important data such as passwords, images, documents are exchanged."
data transfer solution,தரவு பரிமாற்ற தீர்வு,தரவு பரிமாற்ற தீர்வு என்பது பாதுகாப்பான முறையில் ஒரு இடத்தில் இருந்து இன்னொரு இடத்திற்கு தரவுகளை அனுப்புவதற்கும் பெறுவதற்கும் ஒரு செயல்முறையாகும்.,A data transfer solution is a process of sending and receiving data from one place to another in a secure manner.
data use agreement,தரவு செயலி ஒப்பந்தம்,"தரவு செயலி ஒப்பந்தம் என்பது ஒரு தரவை சேகரிப்பது, பயன்படுத்துவது, பகிர்வது என்ற நடைமுறைகளுக்கு ஒரு பயனர் அல்லது நிறுவனம் ஒப்புக்கொண்ட ஒப்பந்தம் ஆகும். இது தரவின் தனிநபர் தன்மையையும் பாதுகாப்பையும் உறுதி செய்கிறது.","A data use agreement is an agreement in which a user or organization agrees to the practices of collecting, using, and sharing data.It ensures privacy and security of data."
